time,velocity
0.0,89
0.118,98
0.14,93
0.283,126
0.303,107
0.586,50
0.604,80
0.607,55
0.941,118
1.257,87
1.586,102
1.592,65
1.616,56
1.69,54
1.91,89
2.136,5
2.215,50
2.239,97
2.539,41
2.564,98
2.89,93
3.214,84
3.231,86
3.443,7
3.542,96
3.546,69
3.569,63
3.602,36
3.653,35
3.864,89
4.092,5
4.192,84
4.497,50
4.517,91
4.853,114
5.168,83
5.393,5
5.498,95
5.501,68
5.524,63
5.617,28
5.821,87
6.048,5
6.127,50
6.148,86
6.454,41
6.475,110
6.814,127
6.845,127
6.968,127
6.992,111
7.13,127
7.186,53
7.457,91
7.477,81
7.77,75
7.79,82
8.108,116
8.411,50
8.435,46
8.438,127
8.763,106
9.084,98
9.337,4
9.412,127
9.418,62
9.443,62
9.516,52
9.745,113
10.042,50
10.062,104
10.187,19
10.288,7
10.366,41
10.389,98
10.716,96
10.944,7
11.04,84
11.366,127
11.372,69
11.395,59
11.429,34
11.48,33
11.701,120
12.018,83
12.271,5
12.323,50
12.343,94
12.679,120
12.936,4
12.995,80
13.221,5
13.324,95
13.328,69
13.352,64
13.444,20
13.647,88
13.873,5
13.954,50
13.977,97
14.28,41
14.305,94
14.63,93
14.954,84
15.287,78
15.313,60
15.602,117
15.622,127
15.771,100
15.793,93
15.934,127
15.955,107
16.238,50
16.257,80
16.259,54
16.593,118
16.909,88
17.164,5
17.238,127
17.244,63
17.269,54
17.57,108
17.868,50
17.887,90
18.192,42
18.217,68
18.521,53
18.865,86
19.118,5
19.194,127
19.2,63
19.224,49
19.527,110
19.782,4
19.844,87
20.027,7
20.07,5
20.15,51
20.173,69
20.474,41
20.488,69
20.801,43
20.818,47
20.963,7
21.126,42
21.14,64
22.108,50
22.124,78
22.134,55
22.461,124
22.78,88
23.111,127
23.116,127
23.145,119
23.44,127
23.466,123
23.759,127
23.77,127
24.064,49
24.09,127
24.093,102
24.389,41
24.416,127
24.422,75
24.714,40
24.74,127
24.748,86
25.04,40
25.066,127
25.073,80
25.103,9
26.01,7
27.021,81
27.044,90
27.353,126
27.378,113
27.51,102
27.531,109
27.673,127
27.693,127
27.976,50
28.0,107
28.022,102
28.318,103
28.338,112
28.491,106
28.512,102
28.651,124
28.673,127
28.978,101
28.998,103
29.298,83
29.316,85
29.333,73
29.634,113
29.958,127
29.966,124
30.586,50
30.597,71
30.907,34
30.934,81
30.973,10
31.871,9
31.894,13
32.185,15
32.21,16
40.547,10
40.569,13
40.642,15
40.666,12
42.629,10
42.653,10
42.723,14
43.704,12
44.711,11
44.803,15
44.83,12
45.786,12
45.812,13
46.793,10
46.833,9
46.883,14
46.911,18
48.877,9
48.966,15
48.994,18
49.947,12
50.958,10
50.983,10
51.047,15
52.027,12
53.039,10
53.128,15
53.155,13
55.121,10
55.145,13
55.209,15
55.235,12
56.191,12
57.203,9
57.225,12
57.291,15
57.317,16
58.273,12
59.284,9
59.307,10
59.37,15
59.398,19
60.381,13
61.367,10
61.39,10
61.452,15
61.48,21
62.462,13
63.451,9
63.472,11
63.536,14
65.53,9
65.554,12
65.615,12
65.639,12
65.655,14
66.625,12
67.613,8
67.636,10
67.649,11
67.696,16
67.724,20
69.692,8
69.715,11
69.777,16
69.804,19
70.786,13
71.775,10
71.798,10
71.857,15
71.884,18
72.086,5
72.329,121
72.356,105
72.58,82
72.618,62
72.659,33
72.691,32
73.073,48
73.084,70
73.619,86
73.639,74
74.135,70
74.142,65
74.153,72
74.165,64
74.634,46
74.654,64
74.672,65
75.155,43
75.177,74
75.195,72
75.219,9
75.695,67
75.713,71
76.218,70
76.222,70
76.236,76
76.245,70
76.737,65
76.754,70
77.235,46
77.258,72
77.276,74
77.777,64
77.796,70
78.301,72
78.303,71
78.319,73
78.327,70
78.818,66
78.837,69
79.317,46
79.341,73
79.359,75
79.859,65
79.876,69
80.38,71
80.383,71
80.399,70
80.407,67
80.899,66
80.917,69
81.399,46
81.417,37
81.945,81
81.964,73
82.463,72
82.466,71
82.481,71
82.489,68
82.958,46
82.982,65
82.999,70
83.479,42
83.502,72
83.521,72
83.544,9
84.021,66
84.039,70
84.543,70
84.544,71
84.561,70
84.569,67
85.062,65
85.08,69
85.561,47
85.579,37
86.048,83
86.502,76
86.505,75
86.52,75
86.529,77
86.96,69
86.978,72
87.419,76
87.42,75
87.436,73
87.444,76
87.876,68
87.894,73
88.336,77
88.339,76
88.355,74
88.362,77
88.463,8
88.794,71
88.812,72
89.253,107
89.272,103
89.366,66
89.403,43
89.458,41
89.478,92
89.503,95
89.581,51
89.673,38
89.751,10
89.777,15
89.852,15
89.886,15
89.919,127
89.952,127
90.015,43
90.032,43
90.112,40
90.363,127
90.399,127
90.476,39
90.558,48
90.581,127
90.621,105
90.759,21
91.022,127
91.035,48
91.464,127
91.466,127
91.5,100
91.5,89
91.563,73
91.609,39
91.644,54
91.668,40
91.688,124
91.694,48
91.75,24
91.792,13
91.908,127
92.13,126
92.348,127
92.35,127
92.386,105
92.441,67
92.484,36
92.526,43
92.551,43
92.571,123
92.581,28
92.636,26
92.708,10
92.79,127
92.796,49
93.01,127
93.23,127
93.231,127
93.269,94
93.322,59
93.409,40
93.433,37
93.454,117
93.458,50
93.469,23
93.523,31
93.546,27
93.601,26
93.672,127
93.892,127
94.112,127
94.114,127
94.204,65
94.242,42
94.29,45
94.317,43
94.334,127
94.401,20
94.42,28
94.482,16
94.554,127
94.56,49
94.775,127
94.783,10
94.992,127
94.994,127
95.085,61
95.124,38
95.17,43
95.194,40
95.216,127
95.222,49
95.225,30
95.278,14
95.298,14
95.358,6
95.436,127
95.447,50
95.562,7
95.657,127
95.874,127
95.877,127
95.967,60
96.005,40
96.053,42
96.077,40
96.097,127
96.163,30
96.183,27
96.266,7
96.318,127
96.324,49
96.444,6
96.539,127
96.547,13
96.756,127
96.759,127
96.797,93
96.852,65
96.89,36
96.938,43
96.962,42
96.979,127
96.984,49
97.046,26
97.071,26
97.128,19
97.169,10
97.2,127
97.212,49
97.312,8
97.42,127
97.638,121
97.672,92
97.738,39
97.829,33
97.853,30
97.858,127
97.866,49
97.932,22
98.019,35
98.04,35
98.065,23
98.08,99
98.091,49
98.301,127
98.52,127
98.522,127
98.555,95
98.621,40
98.655,33
98.686,23
98.705,30
98.742,116
98.748,49
98.886,13
98.901,20
98.962,127
99.096,6
99.184,110
99.403,127
99.406,127
99.444,95
99.495,58
99.533,45
99.582,46
99.607,44
99.625,122
99.63,49
99.647,20
99.693,31
99.716,24
99.845,127
99.857,49
100.065,127
100.075,13
100.284,127
100.287,127
100.321,116
100.376,49
100.414,39
100.464,40
100.488,38
100.507,127
100.512,49
100.569,29
100.662,29
100.704,26
100.726,127
100.729,20
100.748,18
100.759,97
100.793,8
101.161,127
101.191,114
101.384,95
101.505,127
101.602,86
101.613,49
101.819,83
101.827,127
101.849,75
102.045,127
102.046,105
102.084,75
102.373,69
102.491,127
102.54,115
102.61,50
102.69,18
102.699,57
102.731,127
103.145,127
103.156,49
103.592,127
103.595,67
103.623,81
103.811,127
103.813,127
103.894,49
103.918,37
103.982,38
104.012,24
104.032,127
104.07,96
104.155,127
104.257,127
104.294,127
104.652,44
104.69,15
104.711,36
