time,note,velocity
0.7468,38,30
1.5009,38,26
2.3038,38,24
3.1649,38,20
3.9372,38,27
4.7611,38,26
5.5369,38,27
6.3903,38,23
6.8271,38,17
7.2685,38,24
7.7171,38,22
8.1405,38,23
8.5699,38,24
9.0202,38,16
9.4718,38,11
9.9053,38,33
10.7732,38,27
11.6672,38,20
12.5251,38,19
12.5476,42,13
13.3536,42,17
13.3715,38,19
13.751,42,8
13.7612,38,18
14.1374,42,19
14.1519,38,20
14.5181,38,20
14.9381,42,18
15.319,42,13
15.3327,38,16
15.6877,42,9
15.6934,38,24
16.0708,42,20
16.081,38,33
