cluster_id,original_time,note,velocity
0,0.7515,38,27
1,1.4873,38,25
2,2.2834,38,28
3,3.0706,38,11
4,3.8084,38,9
5,4.5318,38,10
6,4.5589,36,9
7,5.3013,38,13
8,6.0327,38,27
9,6.4569,38,22
10,6.8487,38,21
11,7.2591,38,30
12,7.6444,38,21
13,8.0284,38,18
14,8.4384,38,13
15,8.8306,38,21
16,9.2251,38,27
17,9.6104,38,8
18,9.9932,38,5
19,10.3599,38,5
20,10.3892,36,6
21,10.7665,38,17
22,11.1406,38,6
23,11.5138,38,8
24,11.8686,38,8
25,12.2833,38,12
25,12.29,36,26
26,12.7976,38,12
27,12.8302,36,23
28,13.486,36,24
29,14.1294,36,19
29,14.1474,38,17
30,14.7854,36,25
