time,note,velocity
0.6,38,30
1.5,38,26
2.4,38,24
3.3,38,20
3.9,38,27
4.8,38,26
5.3999999999999995,38,27
6.3,38,23
6.8999999999999995,38,17
7.199999999999999,38,24
7.8,38,22
8.1,38,23
8.7,38,24
9.0,38,16
9.6,38,11
9.9,38,33
10.799999999999999,38,27
11.7,38,20
12.6,38,19
12.6,42,13
13.5,42,17
13.5,38,19
13.799999999999999,42,8
13.799999999999999,38,18
14.1,42,19
14.1,38,20
14.399999999999999,38,20
15.0,42,18
15.299999999999999,42,13
15.299999999999999,38,16
15.6,42,9
15.6,38,24
16.2,42,20
16.2,38,33
