frame_idx,marker_id,world_x,world_y,world_z
0,2,-0.610913,-0.00294727,0.0593246
0,1,-0.700166,-0.00217447,0.0678985
0,0,-0.779375,-0.0168802,0.0905645
1,2,-0.610913,-0.00294727,0.0593246
1,1,-0.700166,-0.00217447,0.0678985
1,0,-0.78354,-0.013273,0.0842863
2,2,-0.610913,-0.00294727,0.0593246
2,1,-0.700166,-0.00217447,0.0678985
2,0,-0.784868,-0.0206503,0.0838011
3,2,-0.610913,-0.00294727,0.0593246
3,1,-0.700166,-0.00217447,0.0678985
3,0,-0.782762,-0.0139462,0.085458
4,2,-0.610913,-0.00294727,0.0593246
4,1,-0.700166,-0.00217447,0.0678985
4,0,-0.782125,-0.0144986,0.0864195
5,2,-0.610913,-0.00294727,0.0593246
5,1,-0.700166,-0.00217447,0.0678985
5,0,-0.78342,-0.0133766,0.0844665
6,2,-0.610913,-0.00294727,0.0593246
6,1,-0.700166,-0.00217447,0.0678985
6,0,-0.781865,-0.014723,0.0868101
7,2,-0.610913,-0.00294727,0.0593246
7,1,-0.700166,-0.00217447,0.0678985
7,0,-0.781905,-0.0146885,0.08675
8,2,-0.610913,-0.00294727,0.0593246
8,1,-0.700166,-0.00217447,0.0678985
8,0,-0.779947,-0.00875546,0.0893382
9,2,-0.610913,-0.00294727,0.0593246
9,1,-0.700166,-0.00217447,0.0678985
9,0,-0.782623,-0.0140671,0.0856683
10,2,-0.610913,-0.00294727,0.0593246
10,1,-0.700166,-0.00217447,0.0678985
10,0,-0.79644,-0.00210145,0.0648426
11,2,-0.610913,-0.00294727,0.0593246
11,1,-0.700166,-0.00217447,0.0678985
11,0,-0.79644,-0.00210145,0.0648426
12,2,-0.610913,-0.00294727,0.0593246
12,1,-0.700166,-0.00217447,0.0678985
12,0,-0.79644,-0.00210145,0.0648426
13,2,-0.610913,-0.00294727,0.0593246
13,1,-0.700166,-0.00217447,0.0678985
13,0,-0.79644,-0.00210145,0.0648426
14,2,-0.610913,-0.00294727,0.0593246
14,1,-0.700166,-0.00217447,0.0678985
14,0,-0.79644,-0.00210145,0.0648426
15,2,-0.610913,-0.00294727,0.0593246
15,1,-0.700166,-0.00217447,0.0678985
15,0,-0.79644,-0.00210145,0.0648426
16,2,-0.610913,-0.00294727,0.0593246
16,1,-0.700166,-0.00217447,0.0678985
16,0,-0.79644,-0.00210145,0.0648426
17,2,-0.610913,-0.00294727,0.0593246
17,1,-0.700166,-0.00217447,0.0678985
17,0,-0.79644,-0.00210145,0.0648426
18,2,-0.610913,-0.00294727,0.0593246
18,1,-0.700166,-0.00217447,0.0678985
18,0,-0.79644,-0.00210145,0.0648426
19,2,-0.610913,-0.00294727,0.0593246
19,1,-0.700166,-0.00217447,0.0678985
19,0,-0.79644,-0.00210145,0.0648426
20,2,-0.610913,-0.00294727,0.0593246
20,1,-0.700166,-0.00217447,0.0678985
20,0,-0.79644,-0.00210145,0.0648426
21,2,-0.608314,-0.00277626,0.06494
21,1,-0.700166,-0.00217447,0.0678985
21,0,-0.79644,-0.00210145,0.0648426
22,2,-0.610913,-0.00294727,0.0593246
22,1,-0.700166,-0.00217447,0.0678985
22,0,-0.79644,-0.00210145,0.0648426
23,2,-0.610913,-0.00294727,0.0593246
23,1,-0.700166,-0.00217447,0.0678985
23,0,-0.79644,-0.00210145,0.0648426
24,2,-0.610913,-0.00294727,0.0593246
24,1,-0.700166,-0.00217447,0.0678985
24,0,-0.79644,-0.00210145,0.0648426
25,2,-0.610913,-0.00294727,0.0593246
25,1,-0.706736,-0.00360562,0.0579554
25,0,-0.79644,-0.00210145,0.0648426
26,2,-0.610913,-0.00294727,0.0593246
26,1,-0.700166,-0.00217447,0.0678985
26,0,-0.79644,-0.00210145,0.0648426
27,2,-0.610913,-0.00294727,0.0593246
