Time,Duration,ID,Velocity
0.0,0,8,102
0.15,0.15,1,82
0.3,0.15,1,113
0.45,0.15,1,88
0.6,0.15,1,94
0.9,0.3,8,101
1.05,0.15,1,65
1.2,0.15,1,107
1.35,0.15,1,88
1.5,0.15,1,82
1.8,0.3,6,109
1.95,0.15,1,61
2.1,0.15,1,120
2.25,0.15,1,88
2.4,0.15,1,83
2.7,0.3,6,110
2.85,0.15,1,59
3.0,0.15,1,120
3.15,0.15,1,99
3.3,0.15,1,86
3.6,0.3,8,98
3.75,0.15,1,70
3.9,0.15,1,102
4.05,0.15,4,127
4.2,0.15,3,104
4.35,0.15,3,95
4.5,0.15,2,70
4.65,0.15,2,75
4.8,0.15,7,96
5.1,0.3,6,127
5.4,0.3,6,127
5.4,0,1,97
5.7,0.3,6,127
6.0,0.3,6,127
6.3,0.3,6,127
6.6,0.3,6,127
6.6,0,1,94
6.9,0.3,6,127
7.2,0.3,1,92
7.5,0.3,1,64
7.5,0,4,100
7.65,0.15,4,79
7.8,0.15,2,68
7.95,0.15,1,76
8.1,0.15,1,59
8.4,0.3,1,77
8.4,0,4,107
8.55,0.15,4,79
8.55,0,2,68
8.85,0.3,1,105
9.0,0.15,1,83
9.15,0.15,1,102
9.45,0.3,1,127
9.45,0,8,102
9.6,0.15,1,88
9.9,0.3,1,113
9.9,0,8,96
10.05,0.15,1,85
10.2,0.15,1,127
10.35,0.15,1,85
10.5,0.15,1,124
10.65,0.15,4,77
10.8,0.15,1,86
10.95,0.15,1,103
11.1,0.15,3,78
11.25,0.15,1,78
11.4,0.15,2,61
11.55,0.15,1,84
11.7,0.15,1,117
11.85,0.15,2,52
12.0,0.15,1,97
12.15,0.15,1,127
12.3,0.15,3,72
12.45,0.15,1,92
12.6,0.15,4,42
12.6,0,4,70
12.75,0.15,1,84
12.9,0.15,1,127
13.05,0.15,8,94
13.2,0.15,1,80
13.35,0.15,1,114
13.5,0.15,6,104
13.65,0.15,1,83
13.8,0.15,1,103
13.95,0.15,1,67
14.1,0.15,1,115
14.25,0.15,1,74
14.4,0.15,1,104
14.55,0.15,1,91
14.7,0.15,1,79
14.85,0.15,1,99
15.0,0.15,1,91
15.15,0.15,1,72
15.3,0.15,1,99
15.45,0.15,4,80
15.6,0.15,4,127
15.75,0.15,4,127
15.9,0.15,3,101
16.05,0.15,3,127
16.2,0.15,3,110
16.35,0.15,2,85
16.5,0.15,2,69
16.65,0.15,2,68
16.8,0.15,2,89
16.95,0.15,2,84
17.25,0.3,1,83
17.55,0.3,2,62
17.7,0.15,2,53
17.85,0.15,2,71
18.0,0.15,2,79
18.15,0.15,2,85
18.45,0.3,1,84
18.6,0.15,1,122
18.75,0.15,4,84
18.9,0.15,4,123
19.2,0.3,4,109
19.35,0.15,4,40
19.35,0,4,61
19.65,0.3,1,63
19.95,0.3,3,79
20.1,0.15,3,80
20.4,0.3,2,53
20.55,0.15,2,61
20.85,0.3,8,89
20.85,0,1,99
